gene_name,uniprot_entry,seq_length,saps_propensity,pdps_propensity,mix_ps_propensity,saps_psregion_length,pdps_psregion_length,mix_psregion_length
CYP2D7,CP2D7_HUMAN,515,0.017299885,0.013372222,0.05117652,0,0,0
PIGBOS1,PIOS1_HUMAN,54,0.00012124331,0.00042028763,0.045707747,0,0,0
SIK1B,SIK1B_HUMAN,783,0.26438838,0.8275825,0.6388909,0,88,87
MT-RNR1,MOTSC_HUMAN,16,2.220122e-07,1.5296168e-07,0.00915513,16,16,16
CD300H,CD3CH_HUMAN,201,9.25153e-05,4.1341522e-07,0.015593628,0,0,0
NBDY,NBDY_HUMAN,68,0.00036628015,0.0001847639,0.027464384,0,0,0
CIROP,CIROP_HUMAN,788,0.016070116,0.011756846,0.065619156,0,0,0
TRBC2,TRBC2_HUMAN,178,1.27811145e-05,7.583444e-07,0.010645429,0,0,0
SLC12A8,S12A8_HUMAN,714,0.05827419,0.15959488,0.25304347,0,0,0
RBM47,RBM47_HUMAN,593,0.8692411,0.8416764,0.8447555,212,470,593
IFT56,IFT56_HUMAN,554,5.442273e-05,0.24161439,0.16863868,0,0,0
TMEM129,TM129_HUMAN,362,0.03789278,0.0076376507,0.054307688,0,0,0
E2F8,E2F8_HUMAN,867,0.3055573,0.57109416,0.53228265,0,116,135
UBA6,UBA6_HUMAN,1052,0.01772233,0.39905545,0.26514417,0,0,0
ESYT2,ESYT2_HUMAN,921,0.139016,0.31862992,0.22775786,0,0,0
ESYT3,ESYT3_HUMAN,886,0.10516385,0.34299943,0.20638749,0,0,0
MED19,MED19_HUMAN,244,0.63126135,0.52813995,0.7016444,58,56,124
BLTP3B,BLT3B_HUMAN,1464,0.101840094,0.6224315,0.38813347,0,67,0
POTEB3,POTB3_HUMAN,581,0.6846616,0.80384576,0.6737013,126,203,121
IGLC7,IGLC7_HUMAN,106,7.536534e-07,6.1937644e-06,0.06214083,0,0,0
SHTN1,SHOT1_HUMAN,631,0.6560448,0.6735607,0.5046698,49,46,34
SLC5A10,SC5AA_HUMAN,596,0.04195302,3.806573e-05,0.030122459,0,0,0
FEZF1,FEZF1_HUMAN,475,0.12415727,0.15554373,0.71162164,0,0,117
TMEM120B,T120B_HUMAN,339,0.0022730944,0.00074105564,0.033581015,0,0,0
CLRN2,CLRN2_HUMAN,232,0.022443041,8.057291e-05,0.023851492,0,0,0
ARHGAP10,RHG10_HUMAN,786,0.12026119,0.5807598,0.5290495,0,61,34
IRGM,IRGM_HUMAN,181,5.9241418e-05,0.15736192,0.11643914,0,0,0
FAM170A,F170A_HUMAN,330,0.18713662,0.25056443,0.4308787,0,0,0
ANO9,ANO9_HUMAN,782,0.019732652,0.10014312,0.1441936,0,0,0
SLC22A23,S22AN_HUMAN,686,0.20548137,0.014046609,0.12218481,0,0,0
ODAM,ODAM_HUMAN,279,0.84218866,0.29560184,0.6948656,200,0,167
FAM168B,F168B_HUMAN,195,0.7307087,0.49799243,0.87286806,158,0,195
PXDNL,PXDNL_HUMAN,1463,0.3070193,0.22465077,0.21223465,0,0,0
ILVBL,HACL2_HUMAN,632,0.43943128,0.046623357,0.21619566,0,0,0
UBE2QL1,U2QL1_HUMAN,161,0.0031125168,0.07305594,0.18262602,0,0,0
SYCE3,SYCE3_HUMAN,88,0.008593365,0.18702471,0.14294666,0,0,0
PLEKHG3,PKHG3_HUMAN,1219,0.4231791,0.6098933,0.54601556,51,54,75
ELOVL7,ELOV7_HUMAN,281,6.273234e-05,5.8107507e-06,0.021877829,0,0,0
SSC5D,SRCRL_HUMAN,1573,0.79604584,0.3556134,0.8119408,676,0,580
FSD2,FSD2_HUMAN,749,0.20019074,0.6097932,0.42666465,0,80,0
SH3PXD2B,SPD2B_HUMAN,911,0.61001796,0.88388413,0.76385915,71,504,497
CIBAR1,CBAR1_HUMAN,289,0.057865806,0.4002027,0.2553515,0,0,0
MACROD2,MACD2_HUMAN,425,0.35318026,0.60829747,0.61561954,0,100,187
ZC3H12D,ZC12D_HUMAN,527,0.04671741,0.49212775,0.34354427,0,0,0
FRMD3,FRMD3_HUMAN,597,0.1013224,0.5059335,0.35365966,0,0,0
CCDC78,CCD78_HUMAN,438,0.4992167,0.33184028,0.22355661,0,0,0
HFM1,HFM1_HUMAN,1435,0.06683521,0.5001813,0.31128985,0,0,0
NBAS,NBAS_HUMAN,2371,0.019559797,0.5151534,0.38652685,0,0,0
TARS3,SYTC2_HUMAN,802,0.18800351,0.43498605,0.2232229,0,0,0
TMEM218,TM218_HUMAN,115,0.0021532183,0.00019715916,0.018570608,0,0,0
TESPA1,TESP1_HUMAN,521,0.047214944,0.0822707,0.21207309,0,0,0
HYKK,HYKK_HUMAN,373,0.0011669454,0.08620509,0.17299113,0,0,0
MEIOC,MEIOC_HUMAN,952,0.49099612,0.5511464,0.40204024,0,72,0
CCDC66,CCD66_HUMAN,948,0.5702662,0.62511146,0.63915426,46,146,121
TYW5,TYW5_HUMAN,315,0.00030690274,0.0104139475,0.0881241,0,0,0
MYBPHL,MBPHL_HUMAN,354,0.00022467374,0.13207023,0.138104,0,0,0
TMEM131L,T131L_HUMAN,1609,0.18316886,0.21444932,0.33427796,0,0,0
SSPOP,SSPO_HUMAN,5150,0.0060091144,0.0017069845,0.25290236,0,0,0
VWA8,VWA8_HUMAN,1905,0.5769214,0.61310935,0.5739964,42,143,84
LAMB4,LAMB4_HUMAN,1761,0.46587357,0.3547748,0.37524182,43,0,0
CRPPA,ISPD_HUMAN,451,0.0045589316,0.0402125,0.2929086,0,0,0
FAM221A,F221A_HUMAN,298,0.20658012,0.46320528,0.37824765,0,0,0
GSAP,GSAP_HUMAN,854,0.004216749,0.1503963,0.12600991,0,0,0
GTPBP10,GTPBA_HUMAN,387,0.16894579,0.32407904,0.24822998,0,0,0
WDR91,WDR91_HUMAN,747,0.2703179,0.40049252,0.24478778,0,0,0
PRSS37,PRS37_HUMAN,235,3.7954713e-05,0.00019927745,0.026934724,0,0,0
CDC14C,CC14C_HUMAN,447,0.013040568,0.26792663,0.26785302,0,0,0
MBLAC1,MBLC1_HUMAN,266,0.38379648,0.024897177,0.23023458,0,0,0
PMS2P1,PM2P1_HUMAN,440,0.21371403,0.0153161045,0.10952492,0,0,0
EME2,EME2_HUMAN,379,0.21346033,0.119931266,0.24715872,0,0,0
XIRP2,XIRP2_HUMAN,3374,0.66760457,0.6421893,0.73860174,84,714,1464
POTEF,POTEF_HUMAN,1075,0.5947741,0.83004075,0.6379415,86,207,120
CLEC18A,CL18A_HUMAN,446,7.903301e-05,6.5488466e-06,0.038227044,0,0,0
VPS37C,VP37C_HUMAN,355,0.75168097,0.4252364,0.87676126,107,0,182
ODAD3,ODAD3_HUMAN,595,0.34841666,0.5595852,0.31687194,0,74,0
CFAP69,CFA69_HUMAN,941,0.107385896,0.6379805,0.43904024,0,32,0
PSMB11,PSB11_HUMAN,300,0.16692421,0.14518264,0.23147699,0,0,0
PSD,PSD1_HUMAN,1024,0.1372867,0.42320523,0.4141236,0,0,0
PEDS1,PDES1_HUMAN,270,0.0020139322,0.0012213618,0.02846907,0,0,0
HTR3E,5HT3E_HUMAN,456,0.0047042654,0.003107937,0.039741106,0,0,0
CNOT1,CNOT1_HUMAN,2376,0.23356374,0.6462072,0.63234997,0,225,167
CARNS1,CRNS1_HUMAN,827,0.08364794,0.07938449,0.3533659,0,0,0
MEGF11,MEG11_HUMAN,1044,0.15434617,0.09060742,0.33258405,0,0,0
BDP1,BDP1_HUMAN,2624,0.73926514,0.71219385,0.78912425,286,1305,1528
FAM221B,F221B_HUMAN,402,0.07443574,0.12250473,0.30054787,0,0,0
CCDC88B,CC88B_HUMAN,1476,0.70406735,0.8832939,0.42113075,490,366,0
NKX2-6,NKX26_HUMAN,301,0.3864361,0.14108966,0.6623406,36,0,80
IZUMO1R,JUNO_HUMAN,250,0.0005444587,2.2764482e-06,0.019596558,0,0,0
FAM83G,FA83G_HUMAN,823,0.6841027,0.57372487,0.63324356,94,63,121
PALM3,PALM3_HUMAN,673,0.61692566,0.56742257,0.6386859,126,0,123
RBMY1B,RBY1B_HUMAN,496,0.8729285,0.74745005,0.80608976,305,81,442
PGP,PGP_HUMAN,321,0.022498969,0.18609354,0.3579714,0,0,0
TMEM8B,TMM8B_HUMAN,472,0.0036404722,7.589466e-05,0.020664629,0,0,0
RCCD1,RCCD1_HUMAN,376,0.0031529416,0.0006191763,0.09389786,0,0,0
GOLGA6L9,GG6L9_HUMAN,432,0.74772835,0.46805248,0.65401995,173,0,111
TRABD2B,TIKI2_HUMAN,517,0.13928778,0.46711522,0.30380768,0,0,0
TCAF2,TCAF2_HUMAN,919,0.0055368273,0.18312189,0.24700963,0,0,0
MFSD2B,MFS2B_HUMAN,504,0.025305817,0.16491699,0.20955567,0,0,0
SDHAF1,SDHF1_HUMAN,115,0.3700175,0.27398857,0.41111344,0,0,0
PCARE,PCARE_HUMAN,1288,0.32397488,0.24464457,0.29948694,0,0,0
OOEP,OOEP_HUMAN,149,0.01897559,0.20943284,0.16791159,0,0,0
GGT3P,GGT3_HUMAN,568,0.16658273,0.28179872,0.2385261,0,0,0
